Number of variables,Number of clauses,result 1/2,time 1/2,result LSU interrupted
15,500,457,0.0799100399017334,463
15,500,461,0.08003592491149902,458
15,500,453,0.08217716217041016,463
15,500,455,0.08515310287475586,466
15,600,551,0.09375119209289551,557
15,600,546,0.09413719177246094,554
15,600,543,0.09479594230651855,549
15,600,542,0.09451937675476074,551
15,600,550,0.09555768966674805,553
15,700,639,0.11183762550354004,641
15,700,637,0.11698770523071289,644
15,700,637,0.1120450496673584,640
15,700,635,0.11072993278503418,645
15,700,631,0.10998821258544922,642
15,800,726,0.12720084190368652,729
15,800,725,0.12826037406921387,735
15,800,723,0.1260361671447754,732
15,800,729,0.1272716522216797,729
15,800,736,0.1294395923614502,728
15,900,807,0.14142227172851562,816
15,900,811,0.14366602897644043,824
15,900,818,0.14140057563781738,821
15,900,815,0.14142298698425293,827
15,900,813,0.14348363876342773,816
17,100,97,0.01860642433166504,98
17,100,99,0.018311500549316406,99
17,100,96,0.018307209014892578,99
17,100,95,0.018514394760131836,99
17,100,98,0.01837301254272461,98
17,200,191,0.03680777549743652,192
17,200,191,0.03811287879943848,192
17,200,186,0.03693842887878418,190
17,200,192,0.08604907989501953,193
17,200,188,0.03779959678649902,193
17,300,277,0.05451226234436035,285
17,300,276,0.05378389358520508,287
17,300,284,0.05434536933898926,284
17,300,277,0.053414344787597656,281
17,300,283,0.05491161346435547,285
17,400,372,0.07430887222290039,373
17,400,366,0.07290935516357422,373
17,400,370,0.07285666465759277,374
17,400,371,0.07624220848083496,376
17,400,367,0.07311534881591797,375
17,500,465,0.0906381607055664,472
17,500,454,0.08985614776611328,463
17,500,454,0.09209966659545898,462
17,500,464,0.09152388572692871,467
17,500,459,0.09129762649536133,461
17,600,547,0.10934758186340332,554
17,600,546,0.1089930534362793,554
17,600,546,0.10963106155395508,553
17,600,543,0.10915303230285645,545
17,600,553,0.10926198959350586,561
17,700,646,0.1277449131011963,653
17,700,631,0.12786126136779785,639
17,700,634,0.12722539901733398,635
17,700,633,0.13042211532592773,643
17,700,631,0.13022303581237793,645
17,800,733,0.14446449279785156,735
17,800,726,0.1488635540008545,737
17,800,733,0.1455988883972168,730
17,800,724,0.14496922492980957,734
17,800,735,0.14368653297424316,728
17,900,822,0.16367197036743164,813
17,900,828,0.16176199913024902,814
17,900,816,0.16374850273132324,823
17,900,812,0.16237759590148926,823
17,900,815,0.16191577911376953,822
19,100,99,0.020731687545776367,100
19,100,96,0.020126819610595703,99
