Number of variables,Number of clauses,result 7/8,time 7/8,result LSU,time LSU,result LSU interrupted
11,500,459,0.05710196495056152,459,0.07983732223510742,459
11,500,448,0.05755043029785156,456,0.1145014762878418,456
11,500,453,0.05726337432861328,459,0.0929422378540039,459
11,500,454,0.06051445007324219,458,0.11056947708129883,458
11,600,550,0.06999945640563965,555,0.09759640693664551,555
11,600,545,0.0689694881439209,552,0.10745501518249512,552
11,600,546,0.07808876037597656,550,0.105682373046875,550
11,600,547,0.06955432891845703,548,0.12993764877319336,548
11,600,541,0.06887292861938477,552,0.1408069133758545,551
11,700,630,0.0793769359588623,642,0.1559128761291504,642
11,700,636,0.0788431167602539,636,0.16070032119750977,636
11,700,634,0.08007407188415527,636,0.15462088584899902,636
11,700,631,0.08001708984375,642,0.1556384563446045,642
11,700,629,0.08083701133728027,634,0.17028284072875977,634
11,800,725,0.09146308898925781,729,0.2216508388519287,729
11,800,725,0.0923159122467041,725,0.20114350318908691,725
11,800,728,0.09271430969238281,732,0.2089848518371582,732
11,800,718,0.09138131141662598,732,0.19286775588989258,732
11,800,719,0.0918877124786377,725,0.23270416259765625,725
11,900,812,0.16012287139892578,814,0.28145837783813477,814
11,900,802,0.10444235801696777,813,0.30542922019958496,813
11,900,810,0.10585188865661621,816,0.26873278617858887,816
11,900,814,0.10362386703491211,824,0.25191354751586914,824
11,900,808,0.10608315467834473,813,0.2810208797454834,813
13,100,94,0.014396429061889648,99,0.0014142990112304688,99
13,100,96,0.014223575592041016,98,0.002947092056274414,98
13,100,94,0.030135393142700195,96,0.0036208629608154297,96
13,100,95,0.014724016189575195,97,0.002683877944946289,97
13,100,96,0.01486825942993164,96,0.004033088684082031,96
13,200,184,0.029618501663208008,189,0.025307655334472656,189
13,200,186,0.029767274856567383,190,0.017791748046875,190
13,200,183,0.026975631713867188,188,0.026629924774169922,188
13,200,188,0.02726888656616211,189,0.033172607421875,189
13,200,188,0.027340173721313477,190,0.013632774353027344,190
13,300,280,0.04114365577697754,284,0.05533552169799805,284
13,300,272,0.041252851486206055,280,0.09724807739257812,280
13,300,279,0.041101932525634766,279,0.07454276084899902,279
13,300,276,0.04065561294555664,285,0.03367328643798828,285
13,300,276,0.04124855995178223,279,0.0613408088684082,279
13,400,368,0.05402183532714844,371,0.17592120170593262,371
13,400,368,0.05417203903198242,372,0.11336326599121094,372
13,400,370,0.054581642150878906,372,0.11366844177246094,372
13,400,366,0.054262638092041016,371,0.10777163505554199,371
13,400,368,0.05433225631713867,374,0.10423517227172852,374
13,500,454,0.0683143138885498,459,0.23559832572937012,459
13,500,462,0.06754589080810547,462,0.18059921264648438,462
13,500,459,0.0679318904876709,461,0.2060225009918213,461
13,500,461,0.07066774368286133,465,0.16506671905517578,465
13,500,460,0.06876802444458008,462,0.17862629890441895,462
13,600,546,0.08259892463684082,549,0.31939029693603516,549
13,600,545,0.08173155784606934,547,0.31383728981018066,547
13,600,549,0.08329916000366211,556,0.19255733489990234,556
13,600,544,0.304654598236084,547,0.3779184818267822,547
13,600,548,0.08439016342163086,552,0.3043558597564697,552
13,700,639,0.0963134765625,642,0.3464057445526123,642
13,700,638,0.09369492530822754,641,0.37081193923950195,641
13,700,631,0.09545588493347168,642,0.38954687118530273,642
13,700,641,0.09479975700378418,643,0.3113057613372803,643
13,700,636,0.09476423263549805,646,0.3239459991455078,646
13,800,727,0.10989761352539062,727,0.5647814273834229,727
13,800,726,0.1074669361114502,728,0.5452456474304199,728
13,800,716,0.11171722412109375,731,0.4557361602783203,731
13,800,725,0.10968613624572754,726,0.5508034229278564,726
13,800,733,0.10653090476989746,736,0.38518714904785156,736
13,900,809,0.12083864212036133,816,0.6750247478485107,816
13,900,814,0.12185120582580566,821,0.6185922622680664,816
13,900,815,0.1231696605682373,818,0.6241438388824463,818
13,900,821,0.12428450584411621,825,0.5062699317932129,825
13,900,817,0.19785046577453613,824,0.701535701751709,824
15,100,97,0.015966176986694336,99,0.001383066177368164,99
15,100,95,0.015978574752807617,98,0.002746105194091797,98
15,100,98,0.016021728515625,100,0.0008141994476318359,100
15,100,96,0.015790224075317383,97,0.0031905174255371094,97
15,100,95,0.01587533950805664,96,0.004914045333862305,96
15,200,187,0.03155040740966797,189,0.04762101173400879,189
15,200,187,0.03220009803771973,191,0.022519826889038086,191
15,200,186,0.03321218490600586,190,0.039827585220336914,190
15,200,187,0.03376007080078125,191,0.03863072395324707,191
