Number of variables,Number of clauses,result 7/8,time 7/8,result RC2,time RC2
11,800,728,0.10103368759155273,732,0.24070501327514648
11,800,718,0.10640621185302734,732,0.20395541191101074
11,800,719,0.10830235481262207,725,0.4946329593658447
11,900,812,0.11277604103088379,814,0.7484729290008545
11,900,802,0.11258053779602051,813,0.7992854118347168
11,900,810,0.11093926429748535,816,0.5285766124725342
11,900,814,0.11608290672302246,824,0.20035052299499512
11,900,808,0.1116323471069336,813,0.8650033473968506
13,100,94,0.014656543731689453,99,0.0030324459075927734
13,100,96,0.015239238739013672,98,0.0013000965118408203
13,100,94,0.014945745468139648,96,0.0021224021911621094
13,100,95,0.014692544937133789,97,0.00173187255859375
13,100,96,0.015005350112915039,96,0.002513885498046875
13,200,184,0.029730796813964844,189,0.007901906967163086
13,200,186,0.03405165672302246,190,0.007601022720336914
13,200,183,0.029842853546142578,188,0.013054132461547852
13,200,188,0.03157758712768555,189,0.01645517349243164
13,200,188,0.03347492218017578,190,0.014321327209472656
13,300,280,0.04467129707336426,284,0.008125543594360352
13,300,272,0.04481816291809082,280,0.03966355323791504
13,300,279,0.04455423355102539,279,0.0524144172668457
13,300,276,0.04419565200805664,285,0.006423473358154297
13,300,276,0.049077749252319336,279,0.11861395835876465
13,400,368,0.059926509857177734,371,0.14055085182189941
13,400,368,0.060106754302978516,372,0.0986933708190918
13,400,370,0.06149411201477051,372,0.07284235954284668
13,400,366,0.059607744216918945,371,0.09201717376708984
13,400,368,0.06072187423706055,374,0.08872246742248535
13,500,454,0.07443547248840332,459,0.2672617435455322
13,500,462,0.07500147819519043,462,0.21261930465698242
13,500,459,0.07370281219482422,461,0.4477667808532715
13,500,461,0.07336163520812988,465,0.12658357620239258
13,500,460,0.07578730583190918,462,0.17316603660583496
13,600,546,0.08688592910766602,549,0.6033854484558105
13,600,545,0.08850836753845215,547,1.0642175674438477
13,600,549,0.08995556831359863,556,0.19948554039001465
13,600,544,0.09061908721923828,547,1.121612310409546
13,600,548,0.09327220916748047,552,0.5632898807525635
13,700,639,0.10693883895874023,642,1.0360426902770996
13,700,638,0.10666275024414062,641,1.06427001953125
13,700,631,0.11937499046325684,642,0.7101519107818604
13,700,641,0.11029195785522461,643,0.8079767227172852
13,700,636,0.1099402904510498,646,0.382343053817749
